,Movie_id,Budget,Revenue,titleID,originalTitle,releaseYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes,cast,OscarNominations,OscarsWon
6153,tt0292506,46000000.0,101200000.0,tt0292506,The Recruit,2003,115,"Action,Thriller",nm0002044,"nm0870013,nm0934483,nm0322248",6.6,141682.0,"['nm1314714', 'nm1316738']",0,0
6154,tt0292610,12000000.0,1440653.0,tt0292610,No Good Deed,2002,97,"Crime,Drama,Thriller",nm0706182,"nm0358591,nm0133459,nm0052964",5.4,7790.0,[],0,0
6155,tt0292644,4000000.0,11832822.0,tt0292644,The Rules of Attraction,2002,110,"Comedy,Drama,Romance",nm0000812,"nm0254735,nm0000812",6.6,53161.0,"['nm1261979', 'nm2249360', 'nm2997591', 'nm3924554', 'nm3926455', 'nm3926655', 'nm3927017', 'nm3927378', 'nm3927915', 'nm3928411', 'nm3928594', 'nm3931512', 'nm3935720', 'nm3935816', 'nm3935850', 'nm3935865', 'nm3936003', 'nm3936010', 'nm3936100', 'nm3936124', 'nm3936181', 'nm3936244', 'nm3936315', 'nm3936334', 'nm3936510', 'nm3936835', 'nm3936945']",0,0
6156,tt0292886,4380750.0,1947000.0,tt0292886,800 balas,2002,124,"Action,Comedy,Drama",nm0407067,"nm0346277,nm0407067",6.3,4718.0,"['nm3484879', 'nm3492134', 'nm3492444', 'nm3492784', 'nm3493465', 'nm3493626']",0,0
6157,tt0292963,18000000.0,25005257.0,tt0292963,Before the Devil Knows You're Dead,2007,117,"Crime,Drama,Thriller",nm0001486,nm1031176,7.3,110706.0,"['nm2803712', 'nm3007335']",0,0
6158,tt0293007,3684600.0,10782155.0,tt0293007,Carandiru,2003,145,"Crime,Drama",nm0002199,"nm0002199,nm0093799,nm0623057,nm1176799",7.6,21726.0,"['nm1376061', 'nm1376918', 'nm1377258', 'nm4800259', 'nm5759275', 'nm5759276', 'nm5759277', 'nm5759278', 'nm5759280', 'nm5759281', 'nm5759282', 'nm5759283', 'nm5759284', 'nm5759394', 'nm5759395', 'nm5759396', 'nm5759397', 'nm5759398', 'nm5759399', 'nm5759400', 'nm5759401', 'nm5759403', 'nm5759404', 'nm5759405', 'nm5759406', 'nm5759408', 'nm5759409', 'nm5759410', 'nm5759411', 'nm5759412', 'nm5759413', 'nm5759414', 'nm5759415', 'nm5759416', 'nm5759417', 'nm5759418', 'nm5759419', 'nm5759421', 'nm5759423', 'nm5759425', 'nm5759426', 'nm5759427', 'nm5759428', 'nm5759430', 'nm5759431', 'nm5759432', 'nm5759433', 'nm5759434', 'nm6788227', 'nm6793954', 'nm8197810']",0,0
6159,tt0293416,15000000.0,4000000.0,tt0293416,Metoroporisu,2001,108,"Adventure,Animation,Drama",nm0727336,"nm0856804,nm0960028,nm0359584,nm0000485,nm0902376",7.2,22500.0,"['nm2768667', 'nm3520926']",0,0
6160,tt0293429,20000000.0,84426031.0,tt0293429,Mortal Kombat,2021,110,"Action,Adventure,Fantasy",nm2585406,"nm3859643,nm1709264,nm3349927,nm0095460,nm0864880",6.0,188636.0,"['nm10324641', 'nm10462676', 'nm11175200', 'nm12451075']",0,0
6161,tt0293508,70000000.0,154700000.0,tt0293508,The Phantom of the Opera,2004,143,"Drama,Musical,Romance",nm0001708,"nm0503693,nm0515908,nm0001708",7.2,130076.0,"['nm0384418', 'nm1546062', 'nm1546064', 'nm1546068', 'nm1546080', 'nm1546082', 'nm1546083', 'nm1546088', 'nm1546093', 'nm1546095', 'nm1546098', 'nm1546100', 'nm1546101', 'nm1546111', 'nm1546115', 'nm1546117', 'nm1546120', 'nm1546121', 'nm1546123', 'nm1546125', 'nm1546126', 'nm1546127', 'nm1546134', 'nm1661273', 'nm2304275', 'nm2305326', 'nm2305795', 'nm2306027', 'nm2307659', 'nm2313903', 'nm2325716', 'nm4193892']",3,0
6162,tt0293564,140000000.0,258097122.0,tt0293564,Rush Hour 3,2007,91,"Action,Comedy,Crime",nm0711840,"nm0622288,nm0482780",6.2,181936.0,"['nm2732025', 'nm2732050', 'nm2732069', 'nm2739935']",0,0
